release_group,artists_name,total_streams
current,Bad Bunny,9997799607
current,Taylor Swift,7622072377
current,Olivia Rodrigo,7442148916
current,Harry Styles,6016671168
early_2000s,Eminem,6183805596
early_2000s,Coldplay,3825176058
early_2000s,Linkin Park,2985590613
early_2000s,The Killers,1806617704
modern,Ed Sheeran,10639306988
modern,The Weeknd,9433732541
modern,Taylor Swift,6431585923
modern,Bruno Mars,5846920599
retro,Nirvana,2058839789
retro,"Dr. Dre, Snoop Dogg",2053908531
retro,Chris Molitor,1755214421
retro,The Police,1593270737
vintage,Queen,2197010679
vintage,Vance Joy,2009094673
vintage,Creedence Clearwater Revival,1145727611
vintage,Aerosmith,838586769
